ID_image,bbox_car,class,bbox_plate
frame_1.jpg,"[872, 402, 1279, 711]",car,"(None, None)"
frame_10.jpg,"[552, 200, 1128, 646]",car,"(912, 509, 1036, 565)"
frame_100.jpg,"[559, 153, 826, 363]",car,"(714, 244, 781, 267)"
frame_1000.jpg,"[584, 180, 1020, 494]",car,"(878, 409, 955, 447)"
frame_1001.jpg,"[584, 180, 1020, 495]",car,"(878, 408, 955, 448)"
frame_1002.jpg,"[584, 180, 1021, 496]",car,"(878, 408, 957, 448)"
frame_1003.jpg,"[585, 180, 1021, 497]",car,"(878, 409, 957, 449)"
frame_1004.jpg,"[585, 180, 1021, 495]",car,"(878, 409, 956, 449)"
frame_1005.jpg,"[584, 180, 1020, 496]",car,"(878, 409, 958, 448)"
frame_1006.jpg,"[585, 180, 1020, 499]",car,"(878, 408, 958, 449)"
frame_1007.jpg,"[585, 180, 1021, 496]",car,"(877, 409, 956, 448)"
frame_1008.jpg,"[584, 180, 1019, 497]",car,"(872, 411, 950, 446)"
frame_1009.jpg,"[580, 179, 1007, 508]",car,"(863, 407, 941, 441)"
frame_101.jpg,"[563, 147, 774, 320]",car,"(666, 219, 729, 238)"
frame_101.jpg,"[560, 148, 775, 324]",truck,"(666, 219, 729, 238)"
frame_1010.jpg,"[573, 176, 971, 462]",car,"(834, 389, 909, 423)"
frame_1011.jpg,"[565, 172, 945, 443]",car,"(806, 369, 882, 399)"
frame_1012.jpg,"[565, 172, 945, 441]",car,"(809, 370, 881, 400)"
frame_1013.jpg,"[566, 171, 945, 441]",car,"(808, 370, 881, 400)"
frame_1014.jpg,"[565, 170, 945, 442]",car,"(809, 371, 880, 401)"
frame_1015.jpg,"[565, 170, 945, 443]",car,"(809, 371, 880, 401)"
frame_1016.jpg,"[565, 170, 945, 442]",car,"(809, 371, 881, 401)"
frame_1017.jpg,"[565, 171, 945, 441]",car,"(808, 371, 880, 401)"
frame_1018.jpg,"[565, 169, 945, 440]",car,"(808, 370, 880, 402)"
frame_1019.jpg,"[566, 171, 944, 442]",car,"(808, 370, 881, 402)"
frame_102.jpg,"[580, 140, 746, 295]",car,"(None, None)"
frame_1020.jpg,"[566, 171, 945, 441]",car,"(809, 371, 881, 401)"
frame_1021.jpg,"[566, 170, 945, 442]",car,"(809, 371, 881, 402)"
